Band name,Band value
20150421_0130_sm_rootzone,0.306
20150421_0430_sm_rootzone,0.306
20150421_0730_sm_rootzone,0.306
20150421_1030_sm_rootzone,0.305
20150421_1330_sm_rootzone,0.305
20150421_1630_sm_rootzone,0.304
20150421_1930_sm_rootzone,0.302
20150421_2230_sm_rootzone,0.302
20150422_0130_sm_rootzone,0.303
20150422_0430_sm_rootzone,0.304
20150422_0730_sm_rootzone,0.304
20150422_1030_sm_rootzone,0.304
20150422_1330_sm_rootzone,0.304
20150422_1630_sm_rootzone,0.302
20150422_1930_sm_rootzone,0.301
20150422_2230_sm_rootzone,0.3
20150423_0130_sm_rootzone,0.3
20150423_0430_sm_rootzone,0.3
20150423_0730_sm_rootzone,0.3
20150423_1030_sm_rootzone,0.301
20150423_1330_sm_rootzone,0.301
20150423_1630_sm_rootzone,0.3
20150423_1930_sm_rootzone,0.299
20150423_2230_sm_rootzone,0.299
20150424_0130_sm_rootzone,0.299
20150424_0430_sm_rootzone,0.301
20150424_0730_sm_rootzone,0.301
20150424_1030_sm_rootzone,0.301
20150424_1330_sm_rootzone,0.3
20150424_1630_sm_rootzone,0.299
20150424_1930_sm_rootzone,0.298
20150424_2230_sm_rootzone,0.297
20150425_0130_sm_rootzone,0.297
20150425_0430_sm_rootzone,0.297
20150425_0730_sm_rootzone,0.297
20150425_1030_sm_rootzone,0.297
20150425_1330_sm_rootzone,0.297
20150425_1630_sm_rootzone,0.297
20150425_1930_sm_rootzone,0.296
20150425_2230_sm_rootzone,0.296
20150426_0130_sm_rootzone,0.298
20150426_0430_sm_rootzone,0.298
20150426_0730_sm_rootzone,0.298
20150426_1030_sm_rootzone,0.297
20150426_1330_sm_rootzone,0.297
20150426_1630_sm_rootzone,0.296
20150426_1930_sm_rootzone,0.294
20150426_2230_sm_rootzone,0.294
20150427_0130_sm_rootzone,0.293
20150427_0430_sm_rootzone,0.293
20150427_0730_sm_rootzone,0.293
20150427_1030_sm_rootzone,0.294
20150427_1330_sm_rootzone,0.293
20150427_1630_sm_rootzone,0.292
20150427_1930_sm_rootzone,0.29
20150427_2230_sm_rootzone,0.289
20150428_0130_sm_rootzone,0.289
20150428_0430_sm_rootzone,0.289
20150428_0730_sm_rootzone,0.29
20150428_1030_sm_rootzone,0.29
20150428_1330_sm_rootzone,0.29
20150428_1630_sm_rootzone,0.288
20150428_1930_sm_rootzone,0.287
20150428_2230_sm_rootzone,0.286
20150429_0130_sm_rootzone,0.286
20150429_0430_sm_rootzone,0.286
20150429_0730_sm_rootzone,0.286
20150429_1030_sm_rootzone,0.287
20150429_1330_sm_rootzone,0.287
20150429_1630_sm_rootzone,0.286
20150429_1930_sm_rootzone,0.285
20150429_2230_sm_rootzone,0.284
20150430_0130_sm_rootzone,0.285
20150430_0430_sm_rootzone,0.285
20150430_0730_sm_rootzone,0.285
20150430_1030_sm_rootzone,0.285
20150430_1330_sm_rootzone,0.285
20150430_1630_sm_rootzone,0.285
20150430_1930_sm_rootzone,0.283
20150430_2230_sm_rootzone,0.283
20150501_0130_sm_rootzone,0.283
20150501_0430_sm_rootzone,0.284
20150501_0730_sm_rootzone,0.284
20150501_1030_sm_rootzone,0.284
20150501_1330_sm_rootzone,0.284
20150501_1630_sm_rootzone,0.284
20150501_1930_sm_rootzone,0.283
20150501_2230_sm_rootzone,0.283
20150502_0130_sm_rootzone,0.283
20150502_0430_sm_rootzone,0.283
20150502_0730_sm_rootzone,0.283
20150502_1030_sm_rootzone,0.283
20150502_1330_sm_rootzone,0.283
20150502_1630_sm_rootzone,0.283
20150502_1930_sm_rootzone,0.282
20150502_2230_sm_rootzone,0.282
20150503_0130_sm_rootzone,0.284
20150503_0430_sm_rootzone,0.284
20150503_0730_sm_rootzone,0.285
20150503_1030_sm_rootzone,0.289
20150503_1330_sm_rootzone,0.29
20150503_1630_sm_rootzone,0.289
20150503_1930_sm_rootzone,0.288
20150503_2230_sm_rootzone,0.288
20150504_0130_sm_rootzone,0.288
20150504_0430_sm_rootzone,0.288
20150504_0730_sm_rootzone,0.288
20150504_1030_sm_rootzone,0.288
20150504_1330_sm_rootzone,0.288
20150504_1630_sm_rootzone,0.287
20150504_1930_sm_rootzone,0.285
20150504_2230_sm_rootzone,0.285
20150505_0130_sm_rootzone,0.285
20150505_0430_sm_rootzone,0.285
20150505_0730_sm_rootzone,0.285
20150505_1030_sm_rootzone,0.285
20150505_1330_sm_rootzone,0.285
20150505_1630_sm_rootzone,0.285
20150505_1930_sm_rootzone,0.284
20150505_2230_sm_rootzone,0.283
20150506_0130_sm_rootzone,0.283
20150506_0430_sm_rootzone,0.283
20150506_0730_sm_rootzone,0.283
20150506_1030_sm_rootzone,0.283
20150506_1330_sm_rootzone,0.283
20150506_1630_sm_rootzone,0.282
20150506_1930_sm_rootzone,0.281
20150506_2230_sm_rootzone,0.281
20150507_0130_sm_rootzone,0.281
20150507_0430_sm_rootzone,0.282
20150507_0730_sm_rootzone,0.283
